unit,trip_id,toll_id_start,toll_id_end,toll_name_start,toll_name_end,toll_type,entry_time,exit_time,tag_cost,cash_cost,license_plate_cost
1000,1000_4,124004000,124003000,217 Eastern Terminal,182 Topeka: K-4 183 Topeka: I-70,ticketSystem1,2023-12-08T14:38:51-06:00,2023-12-08T14:38:51-06:00,6.9,9,
1000,1000_4,124003000,124003201,182 Topeka: K-4 183 Topeka: I-70,"197 Lecompton, Lawrence: K-10",ticketSystem1,2023-12-08T15:05:54-06:00,2023-12-08T15:05:54-06:00,2.75,3.75,
1000,1000_4,124003200,124003000,"197 Lecompton, Lawrence: K-10",182 Topeka: K-4 183 Topeka: I-70,ticketSystem1,2023-12-08T15:29:35-06:00,2023-12-08T15:29:35-06:00,2.75,3.75,
1000,1000_4,124003000,124003201,182 Topeka: K-4 183 Topeka: I-70,"197 Lecompton, Lawrence: K-10",ticketSystem1,2023-12-08T15:56:37-06:00,2023-12-08T15:56:37-06:00,2.75,3.75,
1000,1000_4,124003200,124003000,"197 Lecompton, Lawrence: K-10",182 Topeka: K-4 183 Topeka: I-70,ticketSystem1,2023-12-08T16:20:13-06:00,2023-12-08T16:20:13-06:00,2.75,3.75,
2000,2000_10,127000402,127000000,17 - Newburgh I-84,15 - Woodbury Toll,ticketSystem1,2023-12-11T06:48:18-05:00,2023-12-11T06:48:18-05:00,6.74,,8.76
2000,2000_10,126005400,126002800,18W - Geo Washington Br/US 46/I-80,12 - Carteret/Rahway,ticketSystem1,2023-12-11T08:23:51-05:00,2023-12-11T08:23:51-05:00,28.6,31.3,
2000,2000_10,126002800,126003200,12 - Carteret/Rahway,13A - Newark Aprt/Elizabeth Seaport,ticketSystem1,2023-12-11T08:53:09-05:00,2023-12-11T08:53:09-05:00,3.77,4.05,
2000,2000_6,127000402,127000000,17 - Newburgh I-84,15 - Woodbury Toll,ticketSystem1,2023-12-09T03:23:28-05:00,2023-12-09T03:23:28-05:00,6.74,,8.76
2000,2000_6,126005600,126002400,18E - Lincoln Tunnel/NJ 3/Secaucus,10 - I-287/Metuchen/Edison Twsp,ticketSystem1,2023-12-09T05:11:11-05:00,2023-12-09T05:11:11-05:00,36.02,39.45,
2000,2000_6,127000000,127000400,15 - Woodbury Toll,17 - Newburgh I-84,ticketSystem1,2023-12-09T08:00:48-05:00,2023-12-09T08:00:48-05:00,6.74,,8.76
2000,2000_7,127004600,127004000,31 - Utica,29 - Canajoharie,ticketSystem1,2023-12-09T17:39:02-05:00,2023-12-09T17:39:02-05:00,8.8,,11.44
2000,2000_7,127004000,127004200,29 - Canajoharie,29A - Little Falls,ticketSystem1,2023-12-09T18:06:46-05:00,2023-12-09T18:06:46-05:00,3.75,,4.88
2000,2000_7,127004200,127003800,29A - Little Falls,28 - Fultonville,ticketSystem1,2023-12-09T18:53:56-05:00,2023-12-09T18:53:56-05:00,6.46,,8.4
2000,2000_8,126002800,126003200,12 - Carteret/Rahway,13A - Newark Aprt/Elizabeth Seaport,ticketSystem1,2023-12-10T03:33:57-05:00,2023-12-10T03:33:57-05:00,3.77,4.05,
2000,2000_8,126004200,126005000,15E - Newark/Jersey City,16W - Sprtsplx/NJ 3/Secaucus/Ruthrfrd,ticketSystem1,2023-12-10T04:01:03-05:00,2023-12-10T04:01:03-05:00,7.65,8.2,
2000,2000_8,127000000,127000400,15 - Woodbury Toll,17 - Newburgh I-84,ticketSystem1,2023-12-10T05:30:09-05:00,2023-12-10T05:30:09-05:00,6.74,,8.76
2000,2000_9,126000200,126003200,2 - Swedesboro/Chester,13A - Newark Aprt/Elizabeth Seaport,ticketSystem1,2023-12-10T16:14:13-05:00,2023-12-10T16:14:13-05:00,41.86,45.7,
2000,2000_9,127000000,127002400,15 - Woodbury Toll,23 - Albany (Downtown),ticketSystem1,2023-12-10T20:33:03-05:00,2023-12-10T20:33:03-05:00,25.32,,32.91
2000,2000_9,127002600,127003000,23 - Albany (Downtown),25 - Schenectady E.,ticketSystem2,2023-12-10T21:02:04-05:00,2023-12-10T21:02:04-05:00,3.83,,4.99
2000,2000_9,127003200,127003800,25A - Schenectady I-88,28 - Fultonville,ticketSystem1,2023-12-10T21:41:37-05:00,2023-12-10T21:41:37-05:00,5.3,,6.89
